Subject,BrainVolumes
IXI287-Guys-0863,1304558.69338664
IXI288-Guys-0879,1404097.54957021
IXI289-Guys-0864,1461867.52817145
IXI290-IOP-0874,1283827.98798354
IXI291-IOP-0882,1426658.9628803
IXI292-IOP-0877,1320281.28037956
IXI293-IOP-0876,1501604.84083006
IXI294-IOP-0868,1280030.43087619
IXI295-HH-1814,1172620.94293891
IXI296-HH-1970,1266802.90249921
IXI297-Guys-0886,1473068.95502447
IXI298-Guys-0861,1386070.78065863
IXI299-Guys-0893,1394701.7070394
IXI300-Guys-0880,1664068.42103144
IXI302-HH-1883,1420070.75977069
IXI303-IOP-0968,1426283.12622298
IXI304-Guys-0862,1263223.42807353
IXI305-IOP-0871,1234465.78336446
IXI306-IOP-0867,1439233.75305944
IXI307-IOP-0872,1425774.25066256
IXI308-Guys-0884,1838241.30262745
IXI310-IOP-0890,1338887.52052268
IXI311-Guys-0885,1467623.69708433
IXI312-Guys-0887,1292005.23546408
IXI313-HH-2241,1663326.22070694
IXI314-IOP-0889,1659382.09094188
IXI315-IOP-0888,1499236.59263522
IXI316-HH-1862,1489836.76408776
IXI317-Guys-0896,1522629.49538603
IXI318-Guys-0895,1768082.24413093
IXI319-Guys-0901,1507396.21213748
IXI320-Guys-0902,1352014.73587342
IXI321-Guys-0903,1314307.55863655
IXI322-IOP-0891,1543673.36902169
IXI324-Guys-0922,1598793.18895197
IXI325-Guys-0911,1427640.38964738
IXI326-Guys-0907,1409376.06896373
IXI327-HH-1999,1442293.16948962
IXI328-HH-2295,1118865.22938829
IXI329-HH-1908,1244862.23105905
IXI330-Guys-0881,1579092.52615969
IXI331-IOP-0892,1436257.9355541
IXI332-IOP-1134,1371251.78649243
IXI333-IOP-0926,1574460.63166912
IXI334-HH-1907,1380160.22557968
IXI335-HH-1906,1648298.01972408
IXI336-Guys-0904,1760531.72034173
IXI337-IOP-0929,1427103.94461348
IXI338-HH-1971,1221778.84318808
IXI340-IOP-0915,1705709.15327021
IXI341-Guys-0906,1617440.61793804
IXI342-Guys-0909,1644487.22075578
IXI344-Guys-0905,1329159.56800181
IXI345-IOP-0928,1531496.18849042
IXI347-IOP-0927,1492595.63396622
IXI348-Guys-0910,1325720.75133375
IXI350-Guys-0908,1663674.47105851
IXI351-Guys-0914,1322869.01857406
IXI353-HH-1996,1258934.88364534
IXI354-HH-2024,1417098.91971125
IXI356-HH-2049,1280420.8590067
IXI357-HH-2076,1355650.37344614
IXI358-Guys-0919,1394787.77579038
IXI359-Guys-0918,1368215.32301232
IXI360-Guys-0912,1411689.35614571
IXI361-Guys-0913,1551102.63511911
IXI362-HH-2051,1350920.60487508
IXI363-HH-2050,1283574.33670422
IXI364-Guys-0920,1319949.48576082
IXI365-Guys-0923,1428738.76753729
IXI367-Guys-0917,1537438.74596927
IXI368-Guys-0916,1369598.5624404
IXI369-Guys-0924,1416889.87997901
IXI370-Guys-0921,1376061.67617316
IXI371-IOP-0970,1254436.41089385
IXI372-IOP-0971,1672364.68112231
IXI373-IOP-0967,1139086.31477139
IXI375-Guys-0925,1166818.7343583
IXI376-Guys-0938,1304184.22234207
IXI377-Guys-0937,1286701.98973019
IXI378-IOP-0972,1313587.02919819
IXI379-Guys-0943,1144272.61967305
IXI380-Guys-0944,1289770.08097098
IXI381-Guys-1024,1169893.95011212
IXI382-IOP-1135,1334538.53396868
IXI383-HH-2099,1236177.36504008
IXI384-HH-2100,1254325.32825832
IXI385-HH-2078,1442727.71190125
IXI386-HH-2077,1384568.30930376
IXI387-HH-2101,1578494.36127653
IXI388-IOP-0973,1656118.03052405
IXI389-Guys-0930,1389248.84133297
IXI390-Guys-0931,1283878.14495364
IXI391-Guys-0934,1467103.83711574
IXI392-Guys-1064,1468792.62955617
IXI393-Guys-0941,1335629.93588566
IXI394-Guys-0940,1665799.25084455
IXI395-IOP-0969,1554973.31252024
IXI396-HH-2115,1544735.79791961
IXI397-Guys-0953,1269583.16651444
IXI398-Guys-0952,1334543.32482219
IXI399-Guys-0966,1362956.24160147
IXI400-Guys-0977,1392118.87904182
IXI401-Guys-0978,1262812.29622336
IXI402-Guys-0961,1225637.70905938
IXI403-Guys-0965,1421137.31657155
IXI404-Guys-0950,1550401.78929332
IXI405-Guys-0948,1386789.9783538
IXI406-Guys-0963,1427689.95998155
IXI407-Guys-0964,1437155.26866446
IXI408-Guys-0962,1404182.02001872
IXI409-Guys-0960,1437558.76301236
IXI410-Guys-0958,1340301.4552407
IXI411-Guys-0959,1391041.58957354
IXI412-Guys-0949,1367225.96173547
IXI413-Guys-0955,1294596.6223638
IXI414-Guys-0957,1216794.46763126
IXI415-Guys-0942,1413306.34461595
IXI416-Guys-1051,1379427.99930274
IXI417-Guys-0939,1534650.88458359
IXI418-Guys-0956,1473619.3649165
