Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0399,755.0302,635.503,730.0292,648.512,276.01104,320.327,428.01712,406.94,1198.04792,781.834,1261.05044,813.928,2734.10936,1588.37,2994.11976,1534.67,371.01484,385.308,845.0338,754.846,1589.06356,1360.72,1986.07944,1618.79,743.02972,744.042,788.03152,727.598
sub-0400,607.10926,495.794,563.10134,486.183,375.0675,352.069,410.0738,401.038,1778.32004,1020.38,2076.37368,1143.04,2362.42516,1370.92,2349.42282,1380.59,580.1044,614.527,651.11718,677.132,1628.29304,1440.96,1616.29088,1436.34,897.16146,788.475,991.17838,781.101
sub-0401,599.01797,555.325,456.01368,486.823,481.01443,454.918,491.01473,494.93,1169.03507,735.255,1324.03972,881.27,2911.08733,1613.14,2683.08049,1518.18,518.01554,552.468,544.01632,579.091,1808.05424,1543.12,1732.05196,1488.99,1032.03096,897.03,983.02949,810.783
sub-0402,623.06853,588.863,601.06611,528.818,381.04191,394.247,359.03949,377.065,891.09801,674.774,1362.14982,848.024,1935.21285,1182.49,2358.25938,1446.49,587.06457,626.877,606.06666,648.463,1469.16159,1394.19,1534.16874,1421.77,707.07777,776.749,703.07733,733.387
sub-0403,643.944616,554.865,608.947626,512.122,435.962504,464.321,521.955108,490.203,2594.77683,1215.28,2761.762468,1420.17,2983.743376,1636.44,2811.758168,1525.58,451.961128,515.047,395.965944,456.84,1467.873752,1295.03,1637.859132,1453,676.941778,667.287,747.935672,706.352
sub-0404,424,444.759,618,550.192,322,340.335,228,278.903,2166,1109.67,1997,1148.96,2609,1557.98,2186,1400.93,443,546.504,510,594.31,1515,1401.07,1542,1351.34,795,841.108,719,727.794
sub-0405,577,473.464,519,467.938,307,316.892,509,472.464,1058,739.018,1279,850.247,2252,1335.62,2406,1369.16,605,642.437,655,653.26,1542,1375.77,1637,1393.45,705,732.254,869,753.609
sub-0406,500.976453,501.563,529.97509,487.41,298.985947,344.414,305.985618,332.288,979.95394,751.445,1244.941485,834.738,2124.900125,1379.69,2298.891947,1429.4,542.974479,565.955,657.969074,637.423,1750.917703,1457.28,1670.921463,1443.44,845.960238,813.399,856.959721,775.723
sub-0407,645.0258,531.566,649.02596,545.78,352.01408,356.636,362.01448,360.628,1533.06132,859.975,1636.06544,958.844,2260.0904,1344.7,2089.08356,1248.8,525.021,551.978,642.02568,636.848,1485.0594,1319.55,1382.05528,1317.74,699.02796,718.797,685.0274,691.071
sub-0408,466.01864,422.504,481.01924,473.779,344.01376,374.845,365.0146,376.049,1593.06372,945.57,1358.05432,947.902,2812.11248,1509.66,2490.0996,1458.6,552.02208,605.343,661.02644,680.283,1658.06632,1506.93,1653.06612,1485.63,686.02744,751.652,735.0294,769.239
