Subject,BrainVolumes
sub-0380,1377065.92916989
sub-0381,1360366.86519384
sub-0382,1413213.87892628
sub-0383,1504708.64344406
sub-0384,1256471.80027056
sub-0385,1481028.75700235
sub-0386,1703236.76416851
sub-0387,1178503.64973736
sub-0388,1285874.73722577
sub-0389,1569695.73234511
sub-0390,1384947.15348677
sub-0391,1246132.52535462
sub-0392,1549808.43679264
sub-0393,1369439.80221176
sub-0394,1408175.34174532
sub-0395,1413687.96344376
sub-0396,1243747.83862495
sub-0397,1304960.1047169
sub-0398,1458538.18143308
sub-0399,1528398.57078775
sub-0400,1500415.33018402
sub-0401,1622776.4905903
sub-0402,1386330.3167027
sub-0403,1620529.80026454
sub-0404,1538292.05147338
sub-0405,1384409.65034294
sub-0406,1297041.15442979
sub-0407,1215435.78390598
sub-0408,1342552.57223225
sub-0409,1431150.55090642
sub-0410,1291343.48608065
sub-0411,1321570.4522804
sub-0412,1590873.41299009
sub-0413,1445085.88834572
sub-0414,1156018.18502212
sub-0415,1309968.73698115
sub-0416,1438905.23343468
sub-0417,1351755.06168652
sub-0418,1520208.1138134
sub-0419,1314997.06539863
sub-0420,1562137.71867156
sub-0421,1469453.0050891
sub-0422,1352056.73564202
sub-0423,1273814.80367786
sub-0424,1641102.25721383
sub-0425,1262272.96880933
sub-0426,1321888.96969768
sub-0427,1186823.35611027
sub-0428,1540486.94538194
sub-0429,1510634.60995916
sub-0430,1262589.67474379
sub-0431,1237500.01844019
sub-0432,1493175.62225005
sub-0433,1303788.61942796
sub-0434,1252407.06912994
sub-0435,1380110.76773898
sub-0436,1294971.31929658
sub-0437,1229884.2183267
sub-0438,1673400.17493561
sub-0439,1443782.49382571
sub-0440,1410093.92101204
sub-0441,1362556.37030367
sub-0442,1465963.22184455
sub-0443,1302291.46940565
sub-0444,1550571.65757872
sub-0445,1696042.69048363
sub-0446,1484671.41150668
sub-0447,1261294.56855606
sub-0448,1509309.5924396
sub-0449,1498750.10322315
sub-0450,1281241.36909198
sub-0451,1257748.66874192
sub-0452,1234232.11839149
sub-0453,1350410.87012269
sub-0454,1347883.22008502
sub-0455,1393555.41693762
sub-0456,1234705.06839854
sub-0457,1429078.52129493
sub-0458,1280211.12195141
sub-0459,1324722.6197399
sub-0460,1510461.02250762
sub-0461,1301629.51939579
sub-0462,1497113.57230873
sub-0463,1347770.72008335
sub-0464,1291786.21924911
sub-0465,1461957.32178486
sub-0466,1425237.7712377
sub-0467,1211959.3680596
sub-0468,1287917.11919146
sub-0469,1413074.39117203
sub-0470,1612840.9740332
sub-0471,1513652.87255519
sub-0472,1252021.16815826
sub-0473,1407336.42582567
sub-0474,1388416.52068902
sub-0475,1538226.47292136
sub-0476,1200614.41789055
sub-0477,1180456.66759017
sub-0478,1266828.41955568
sub-0479,1454332.41331503
sub-0480,1565661.17333017
sub-0481,1366305.42894373
sub-0482,1482636.172093
sub-0483,1520450.12265647
sub-0484,1286423.5691692
sub-0485,1517715.8019985
sub-0486,1502856.47239431
sub-0487,1277348
sub-0488,1269576
sub-0489,1429149
sub-0490,1380657
sub-0491,1550558
sub-0492,1547091
sub-0493,1582097
sub-0494,1285193
sub-0495,1394703
sub-0496,1525335
sub-0497,1488458
sub-0498,1420311
sub-0499,1728310
sub-0500,1235116
sub-0501,1430718
sub-0502,1176261
sub-0503,1369394
sub-0504,1325108
NA,NA
sub-0506,1438920
sub-0507,1446796
sub-0508,1385166
sub-0509,1571864
sub-0510,1358186
sub-0511,1316470
sub-0512,1429371
sub-0513,1286838
sub-0514,1330597
sub-0515,1339695
sub-0516,1532029
sub-0517,1170818
sub-0518,1474226
sub-0519,1585939
sub-0520,1384561
sub-0521,1572368
sub-0522,1570704
sub-0523,1300162
sub-0524,1616812
sub-0525,1291711
sub-0526,1521786
sub-0527,1437472
sub-0528,1399766
sub-0529,1483135
sub-0530,1330809
sub-0531,1335424
sub-0532,1191801
sub-0533,1791945
sub-0534,1379120
sub-0535,1443787
sub-0536,1253554
sub-0537,1513898
sub-0538,1379625
sub-0539,1386607
sub-0540,1346141
sub-0541,1249458
sub-0542,1524704
sub-0543,1258958
sub-0544,1247177
sub-0545,1290020
sub-0546,1174232
sub-0547,1420846
sub-0548,1547410
sub-0549,1597307
sub-0550,1361680
sub-0551,1196278
sub-0552,1266454
sub-0553,1420667
sub-0554,1336518
sub-0555,1467293
sub-0556,1277973
sub-0557,1165454
sub-0558,1405203
sub-0559,1307398
sub-0560,1590259
sub-0561,1380104
sub-0562,1331011
sub-0563,1624815
sub-0564,1570259
sub-0565,1486981
sub-0566,1376586
sub-0567,1274559
sub-0568,1465778
sub-0569,1242839
sub-0570,1371354
sub-0571,1251508
sub-0572,1266875
sub-0573,1233762
sub-0574,1141768
sub-0575,1472009
sub-0576,1815173
sub-0577,1342107
sub-0578,1300172
sub-0579,1223854
sub-0580,1293197
sub-0581,1403461
sub-0582,1658461
sub-0583,1337610
sub-0584,1338308
sub-0585,1566266
sub-0586,1373017
sub-0587,1271401
sub-0588,1254828
sub-0589,1388644
sub-0590,1477073
sub-0591,1285381
sub-0592,1343130
sub-0593,1264853
sub-0594,1481138
sub-0595,1353919
sub-0596,1701251
sub-0598,1242572
sub-0599,1225076
sub-0600,1420274
sub-0601,1423168
sub-0602,1441060
sub-0603,1301259
sub-0604,1488727
sub-0605,1532453
sub-0606,1504943
sub-0607,1317765
sub-0608,1355272
sub-0609,1547822
sub-0610,1437570
sub-0611,1245987
sub-0612,1529339
sub-0613,1172162
sub-0614,1473909
sub-0615,1215958
sub-0616,1439985
sub-0617,1402427
sub-0618,1392966
sub-0619,1568203
sub-0620,1443400
sub-0621,1390179
sub-0622,1334352
sub-0623,1516180
sub-0624,1256009
sub-0625,1431424
sub-0626,1524775
sub-0627,1553929
sub-0628,1331569
sub-0629,1272975
sub-0630,1297421
sub-0631,1177987
sub-0632,1206289
sub-0633,1233635
sub-0634,1425378
sub-0635,1214682
sub-0636,1317578
sub-0637,1279653
sub-0638,1572570
sub-0639,1358472
sub-0640,1290675
sub-0641,1320222
sub-0642,1297043
sub-0643,1252322
sub-0644,1440175
sub-0645,1373841
sub-0646,1409849
sub-0647,1395752
sub-0648,1165543
sub-0649,1229434
sub-0650,1310839
sub-0651,1364799
sub-0652,1360172
sub-0653,1458838
sub-0654,1523250
sub-0655,1057657
sub-0656,1517582
sub-0657,1423796
sub-0658,1514769
sub-0659,1107973
sub-0660,1278179
sub-0661,1194171
sub-0662,1373735
sub-0663,1431510
sub-0664,1254073
sub-0665,1342140
sub-0666,1347036
sub-0667,1282175
sub-0668,1432949
sub-0669,1309563
sub-0670,1221335
sub-0671,1316181.24903952
sub-0672,1209443.62888259
sub-0673,1434399.212569
sub-0674,1452816.69308371
sub-0675,1331028.69660969
sub-0676,1415018.93762073
sub-0677,1270135.49059398
sub-0678,1446625.76788366
sub-0679,1701612.14565128
sub-0680,1244610.9470649
sub-0681,1221679.87153977
sub-0682,1431048.33984375
sub-0683,1277666.49340689
sub-0684,1632203.46514955
sub-0685,1522228.01983953
sub-0686,1247317.68590212
sub-0687,1610868.17046351
sub-0688,1281062.90925667
sub-0689,1676583.69779438
sub-0690,1434591.13611728
sub-0691,1426038.87630254
sub-0692,1438128.38333622
sub-0693,1368777.16067433
sub-0694,1395954.1812256
sub-0695,1487653.18952501
sub-0696,1336014.31866065
sub-0697,1409001.44923478
sub-0699,1488985.35216451
sub-0701,1339321.18127123
sub-0703,1384820.5078125
sub-0704,1282958.8226974
sub-0705,1408965.41462839
sub-0707,1408643.94031763
sub-0708,1431433.30078125
sub-0709,1442131.37984276
sub-0710,1246817.69689545
sub-0711,1419499.54074025
sub-0712,1393764.17102963
sub-0713,1442463.99478912
sub-0714,1235045.0712584
sub-0715,1633914.84375
sub-0717,1451829.71575856
sub-0718,1177007.71025643
sub-0719,1557023.73046875
sub-0720,1476455.82936555
sub-0721,1367946.98073866
sub-0722,1365407.55306539
sub-0723,1272355.98511926
sub-0724,1480456.76578753
sub-0725,1900365.27079315
sub-0726,1344677.14136077
sub-0727,1294403.53917788
sub-0728,1417747.65042365
sub-0729,1340047.04162042
sub-0730,1260898.16742944
sub-0731,1315334.01243412
sub-0732,1623796.93918525
sub-0734,1269477.07871379
sub-0735,1406963.58242266
sub-0736,1295718.7522297
sub-0737,1420739.14744292
sub-0738,1547445.42973587
sub-0739,1675689.2578125
sub-0740,1622729.07956466
sub-0741,1416671.88289912
sub-0742,1317906.37212817
sub-0743,1386525.86004799
sub-0744,1534766.24091248
sub-0745,1343640.234375
sub-0746,1289880.09377288
sub-0747,1214980.82714081
sub-0748,1397524.65304392
sub-0750,1311211.10135391
sub-0751,1385262.3945795
sub-0752,1454457.12890625
sub-0753,1305847.53862023
sub-0754,1422117.13518575
sub-0755,1714873.83469194
sub-0756,1590182.3796764
sub-0757,1568857.65938088
sub-0758,1505765.60428441
NA,NA
sub-0760,1389041.63915142
sub-0761,1727629.98803258
sub-0762,1362168.30259636
sub-0763,1505818.52658838
sub-0764,1488762.18649372
sub-0765,1509282.59978592
sub-0766,1516321.29601389
sub-0767,1384703.48631218
sub-0769,1494857.09543824
sub-0770,1523484.18366909
sub-0771,1269641.6015625
sub-0772,1364941.3236782
sub-0773,1357694.25803795
sub-0774,1340767.05875024
sub-0775,1522411.21161729
sub-0776,1365562.42663264
sub-0777,1498638.88269067
sub-0778,1255115.49822316
sub-0779,1401207.15072155
sub-0780,1397053.21735516
sub-0781,1301205.69971949
sub-0782,1529292.39077568
sub-0783,1250475.17704368
sub-0785,1600649.30612594
sub-0786,1465520.41102946
sub-0787,1235062.74794787
sub-0788,1401656.68242797
sub-0789,1481431.640625
sub-0790,1318255.96086234
sub-0791,1472982.5269416
sub-0792,1443868.76518875
sub-0793,1373573.27889651
sub-0794,1376010.04613936
sub-0795,1350851.02187097
sub-0796,1317806.54296875
sub-0797,1483686.03515625
sub-0798,1603962.3264581
sub-0799,1555381.49747998
sub-0800,1430199.46561754
sub-0803,1398567.87156835
sub-0804,1557139.74609375
sub-0805,1544950.66125244
sub-0806,1481779.56671342
sub-0807,1617745.64310685
sub-0808,1632630.03400862
sub-0809,1460979.96404171
sub-0810,1403518.19817424
sub-0811,1552290.0287658
sub-0812,1490068.9939633
sub-0813,1355855.33190966
sub-0814,1439930.12496158
sub-0815,1588452.58662477
sub-0816,1286455.8100462
sub-0817,1446315.33259302
sub-0818,1442423.21713865
sub-0819,1365146.71666324
sub-0820,1428346.05358243
sub-0821,1525142.28515625
sub-0822,1326105.60519621
sub-0823,1369399.81098175
sub-0824,1452764.89222571
sub-0825,1500052.07220912
sub-0826,1406514.83150125
sub-0827,1766017.66953617
sub-0828,1302131.59558922
sub-0829,1322916.86959863
sub-0830,1445938.67857754
sub-0831,1267831.92869872
sub-0832,1381346.23674899
sub-0833,1280603.52453589
sub-0834,1356460.24541929
sub-0835,1399186.61395088
sub-0836,1425980.32628149
sub-0837,1483589.91293237
sub-0838,1377586.5544863
sub-0839,1372594.56272051
sub-0840,1279315.63014686
sub-0841,1403894.36717927
sub-0842,1569926.17579401
sub-0843,1351433.32525045
sub-0844,1496933.77854824
sub-0845,1317757.21644759
sub-0846,1359026.3671875
sub-0847,1422841.326309
sub-0848,1225866.54838175
sub-0849,1438327.91837677
sub-0850,1545130.00837862
sub-0851,1515083.46954882
sub-0852,1411774.14980605
sub-0853,1628660.13480127
sub-0854,1235361.1349836
sub-0855,1641654.05152738
sub-0856,1559137.78696954
sub-0857,1224425.71689561
sub-0858,1471420.09811997
sub-0859,1222627.34693438
sub-0860,1582187.46166527
sub-0861,1390287.57372648
sub-0862,1454310.57233512
sub-0863,1307798.6966148
sub-0864,1363325.67848861
sub-0865,1288535.61192155
sub-0866,1460604.72944453
sub-0867,1488343.07549
sub-0868,1414676.48801655
sub-0869,1576532.38350749
sub-0870,1522080.17578125
sub-0871,1203470.31962872
sub-0872,1470416.92999452
sub-0873,1331833.99373889
sub-0874,1323526.87446401
sub-0875,1469012.44740933
sub-0876,1555710.20109504
sub-0877,1483609.24931243
sub-0878,1348971.53718174
sub-0879,1355369.12525296
sub-0880,1401538.32952604
sub-0881,1196237.44681031
sub-0882,1428709.20526385
sub-0883,1420882.03238323
sub-0884,1419457.38270432
sub-0885,1642771.61625624
sub-0886,1265551.25631765
sub-0887,1266438.01035583
sub-0889,1621386.16579324
sub-0892,1552498.20059985
sub-0894,1420290.80345035
sub-0897,1359602.91844234
sub-0898,1500405.49006686
sub-0900,1234296.25317156
sub-0901,1370512.33749613
sub-0902,1521940.98601118
sub-0903,1368648.52781743
sub-0904,1284038.96484375
sub-0905,1412119.10911649
sub-0906,1538370.703125
sub-0908,1644097.62613658
sub-0909,1521590.86708904
sub-0910,1383710.53719269
sub-0911,1407159.35502201
sub-0912,1365362.35908412
sub-0913,1417056.59341961
sub-0914,1363002.16420179
sub-0917,1589702.34375
sub-0918,1464025.78125
sub-0919,1305911.843207
sub-0921,1432154.60965065
sub-0922,1465084.61512327
sub-0923,1605018.98351088
sub-0924,1372754.66132909
sub-0925,1444696.65697663
sub-0926,1397951.81128523
sub-0927,1326205.00516257
sub-0928,1529030.93463743
sub-0929,1363565.24486326
sub-0930,1431747.82296717
sub-0931,1702062.20148056
sub-0932,1561653.99200393
sub-0933,1436135.18507481
sub-0934,1399227.49955858
sub-0935,1552869.98361647
sub-0937,1509641.29156864
sub-0938,1599379.87798825
sub-0939,1174442.54342564
sub-0940,1569596.58416726
sub-0942,1707292.86020324
sub-0945,1360668.7110588
sub-0946,1285920.64571949
sub-0947,1381466.63515716
sub-0948,1478671.28457874
sub-0949,1372099.04427857
sub-0950,1292530.078125
sub-0951,1297719.22313176
sub-0952,1511112.40769103
sub-0953,1413306.37916346
sub-0954,1325473.6120946
sub-0955,1211130.92983526
sub-0956,1219830.54630473
sub-0957,1254417.59539869
sub-0958,1469693.44778083
sub-0959,1344645.703125
sub-0960,1268909.47769844
sub-0961,1278300.75807372
sub-0962,1288410.23519126
sub-0963,1506778.32217036
sub-0964,1521606.21180663
sub-0965,1367014.71371495
sub-0966,1462848.66849239
sub-0967,1673654.38255778
sub-0968,1496081.27282559
sub-0969,1808690.03366049
sub-0970,1409103.97657201
sub-0971,1710796.7963025
sub-0972,1599568.74304712
sub-0973,1456959.77766869
sub-0974,1518382.84387439
sub-0975,1349153.54139151
sub-0976,1495200.87682307
sub-0977,1667385.82053982
sub-0978,1536164.05963898
sub-0979,1640250.81254844
sub-0980,1553289.94833708
sub-0981,1421358.87562536
sub-0982,1504520.51740754
sub-0983,1522540.41379318
sub-0984,1538503.61319333
sub-0985,1375918.75861902
sub-0986,1431832.95255303
sub-0987,1479148.99197921
sub-0988,1454077.92026351
sub-0989,1516628.94758134
sub-0990,1356508.67261395
sub-0991,1507900.59550237
sub-0992,1528497.40448118
sub-0993,1234127.74084173
sub-0994,1406957.41595361
sub-0995,1212875.45399762
sub-0996,1309106.4905356
sub-0997,1453921.90260439
sub-0998,1316341.07396592
sub-0999,1273547.08674846
sub-1000,1524005.63187116
sub-1001,1445867.39427343
sub-1002,1322479.8411575
sub-1003,1566417.94217054
sub-1004,1397869.33807433
sub-1005,1559371.18992034
sub-1006,1546852.96868098
sub-1007,1455306.59210806
sub-1008,1752124.03459623
sub-1009,1441151.78524814
sub-1010,1477789.53403628
sub-1011,1753114.55255307
sub-1012,1388357.05258677
sub-1013,1393710.2804482
sub-1014,1626702.64503658
sub-1015,1338155.92746287
sub-1016,1355172.64174118
sub-1017,1810503.54371219
sub-1018,1562580.01557961
sub-1019,1405437.35647475
sub-1020,1695375.14101936
sub-1021,1275003.24769636
sub-1022,1302600.8899446
sub-1023,1355325.29296875
sub-1024,1486533.67959233
sub-1025,1610441.79854143
sub-1026,1532023.33959091
sub-1027,1493978.97243895
sub-1028,1490601.09514143
sub-1029,1439299.56814365
sub-1030,1244736.99320074
sub-1031,1642028.82901396
sub-1032,1629621.0435085
sub-1033,1556869.72390875
sub-1034,1825373.14453124
sub-1035,1603679.15717207
sub-1036,1683913.72126866
sub-1236,1595098
sub-1237,1400374
sub-1238,1514573
sub-1239,1414297
sub-1240,1352078
sub-1241,1357288
sub-1242,1301317
sub-1243,1394402
sub-1244,1291018
sub-1245,1136089
sub-1246,1398953
sub-1255,1458321.1192131
sub-1256,1469032.23997951
sub-1259,1364594.57734108
sub-1260,1405958.34299661
sub-1261,1477455.93188592
sub-1262,1566672.89206475
sub-1263,1437755.67803628
sub-1264,1287085.3241354
sub-1265,1365616.94397178
sub-1266,1373592.88896967
sub-1267,1209756.77980148
sub-1268,1627074.21358814
sub-1269,1408012.97811401
sub-1270,1331736.50597876
sub-1271,1365128.0398324
sub-1272,1290395.0194992
sub-1273,1273087.81296515
sub-1274,1574438.4226229
sub-1275,1776302.60971085
sub-1276,1492749.34845852
sub-1277,1209770.39485347
sub-1278,1467222.3637229
sub-1279,1483799.30837787
sub-1280,1385034.48356315
sub-1281,1652732.39791559
sub-1282,1486533.45836241
sub-1283,1321723.25411146
sub-1284,1405478.10298122
sub-1285,1176081.8053202
sub-1286,1200925.56199269
sub-1287,1673629.02724508
sub-1288,1432901.29313844
sub-1289,1483585.18074215
sub-1290,1490101.83971388
sub-1291,1440530.67317676
sub-1292,1537789.17814939
sub-1293,1553875.98093299
sub-1294,1304128.89375378
sub-1295,1522399.21848091
sub-1296,1240164.14180691
sub-1297,1318463.0680276
sub-1298,1528154.67227361
sub-1299,1313039.32641047
sub-1300,1382046.59851894
sub-1301,1202643.53400651
sub-1302,1436149.10190232
sub-1303,1516114.01539288
sub-1304,1577522.85076299
sub-1305,1297903.10180167
sub-1306,1234523.79709007
sub-1307,1497342.5719047
sub-1308,1591210.92893363
sub-1309,1277971.90343096
sub-1310,1147856.564828
sub-1311,1263692.18936507
sub-1312,1414290.75481004
sub-1313,1285341.35974961
sub-1314,1404797.35038208
sub-1315,1359896.14667504
sub-1316,1539140.78149168
sub-1317,1265280.19951905
sub-1318,1233950.72717479
sub-1319,1258529.60919962
sub-1320,1517554.73543906
sub-1321,1452521.82077755
sub-1322,1514654.72936674
sub-1323,1475361.68934458
sub-1324,1242470.03651999
sub-1325,1524469.94411429
sub-1326,1512915.71590894
sub-1327,1304140.03334176
sub-1328,1327274.48212442
sub-1329,1359108.94912404
sub-1330,1539822.77182281
sub-1331,1428043.1950446
sub-1332,1402071.86452154
sub-1333,1180077.20421113
sub-1334,1415543.33959245
sub-1335,1661454.69530853
sub-1336,1280078.52329228
sub-1337,1703897.76326669
sub-1338,1574709.48593056
sub-1339,1615610.33981868
sub-1340,1175257.47580924
sub-1341,1615672.2264186
sub-1342,1406739.35188762
sub-1343,1304570.76407722
sub-1344,1535358.27250447
sub-1345,1318696.9993753
sub-1346,1442663.28541005
sub-1347,1289505.09019233
sub-1348,1519970.78829999
sub-1349,1441712.70723526
sub-1350,1428345.20165222
sub-1351,1396300.32021286
sub-1352,1375607.91666311
sub-1353,1408539.01421334
sub-1354,1403151.16682417
sub-1355,1365218.39426829
sub-1356,1387820.61829162
sub-1357,1596551.74250685
